file_name,lat,lon,Temperature__mean,Temperature__min,Temperature__max,Temperature__std,Globe Temperature__mean,Globe Temperature__min,Globe Temperature__max,Globe Temperature__std,Relative Humidity__mean,Relative Humidity__min,Relative Humidity__max,Relative Humidity__std,Wind Speed__mean,Wind Speed__min,Wind Speed__max,Wind Speed__std,Wet Bulb Globe Temperature__mean,Wet Bulb Globe Temperature__min,Wet Bulb Globe Temperature__max,Wet Bulb Globe Temperature__std,n_points
HEAT_-_3080887_Apr_17_2026_11_34_05_AM.csv,30.2870446,-97.7333526,81.22148760330579,79.6,83.5,0.7759087802452732,91.40413223140497,89.8,94.0,1.3099870669981735,61.98595041322314,59.5,65.0,1.1689244190796342,3.1049586776859504,0.0,10.6,2.0939536464015234,77.54545454545455,76.8,78.7,0.5530220007679012,121
HEAT_-_3080892_Apr_17_2026_10_39_59_AM.csv,30.2868214,-97.7398898,77.73200000000003,77.0,80.4,0.5969816553079283,88.19680000000002,82.4,92.7,2.224784730434429,68.61600000000001,66.3,69.8,0.7937660336201291,5.486399999999999,1.3,14.4,2.3205027263991327,75.8744,73.0,77.6,0.988882066747842,125
HEAT_-_3080892_Apr_16_2026_5_59_21_PM.csv,30.2896491,-97.7363893,89.64208333333333,87.4,94.1,1.37141309758945,100.34541666666665,93.6,105.3,3.7396859322258047,44.77958333333334,41.3,47.7,1.5007250107464911,2.9558333333333335,0.0,11.0,1.7377085779304613,81.13166666666666,78.0,83.3,1.5888462345498509,240
HEAT_-_3080884_Apr_17_2026_10_39_59_AM.csv,30.2874959,-97.736924,77.9625,77.0,79.9,0.635115618403056,29.009999999999998,-1.5,42.8,13.266495360857892,68.7125,66.4,70.0,0.8178227397263084,2.564166666666667,0.0,10.8,2.994891893037273,62.825833333333335,57.9,65.4,2.2278412444885416,120
HEAT_-_3080892_Apr_17_2026_11_59_09_AM.csv,30.2892727,-97.7366348,80.21083333333333,79.4,81.8,0.5467698628428285,86.60333333333334,84.7,87.7,0.9696168638926902,61.69000000000001,60.7,62.6,0.44691284657858593,6.2524999999999995,0.7,17.0,3.114832029408419,74.76416666666667,73.8,76.2,0.8929034721873679,120
HEAT_-_3080884_Apr_17_2026_12_00_34_PM.csv,30.2876728,-97.7351866,81.97666666666667,80.2,83.3,0.7229413929932911,40.00916666666667,27.7,48.2,5.622314422707708,60.916666666666664,59.0,62.4,0.7238242663985857,2.6533333333333338,0.0,10.4,3.11458842616898,66.0575,64.0,67.2,0.8376299598150905,120
HEAT_-_3080884_Apr_17_2026_11_42_59_AM.csv,30.2882658,-97.7348883,82.39512195121951,81.2,84.3,0.7386134172136086,2.1861788617886173,-0.2,13.8,3.6727468882909933,60.35284552845528,58.5,61.9,0.8395280878977102,0.26666666666666666,0.0,4.7,0.8340761716469828,59.103252032520324,58.2,61.0,0.6931674695749809,123
HEAT_-_3080884_Apr_16_2026_4_01_19_PM_Group_2_1.csv,30.2893079,-97.7358254,92.92479338842973,88.7,96.3,1.9131684449160742,48.324793388429754,44.8,52.7,1.9388261479451743,43.53305785123967,40.4,47.8,1.7503041845039424,2.521487603305785,0.0,9.0,1.59876028073683,70.79173553719008,69.7,72.2,0.567536603351053,121
HEAT_-_3080892_Apr_16_2026_4_19_10_PM.csv,30.2883684,-97.7366941,86.86776859504133,86.1,87.7,0.3357118993107686,89.75702479338845,87.9,91.1,1.0210147277978718,48.577685950413226,47.2,51.3,0.9300974503876623,4.716528925619835,0.8,11.2,2.271576072078518,76.92396694214875,76.5,77.7,0.21909845328391722,121
HEAT_-_3080887_Apr_17_2026_12_00_35_PM.csv,30.2851577,-97.7334726,80.92479338842973,79.8,83.0,0.6830423354052974,93.59586776859504,89.8,98.2,2.815445396801213,62.18347107438016,59.8,63.5,0.7952302714138867,6.660330578512396,0.7,12.8,2.9145176656078955,78.34380165289255,76.8,80.3,1.1371669887622387,121
HeatMapping_SecondLocation_GROUP5.csv.csv,30.2874619,-97.7369092,87.02644628099173,86.6,87.4,0.20197714187556068,62.739669421487605,55.2,65.3,1.9660654168009004,47.58347107438017,46.1,49.2,0.6437322304910661,7.909917355371901,0.0,14.3,3.2146644448702495,71.37768595041321,70.4,72.0,0.2908285873459321,121
HEAT_-_3080887_Apr_16_2026_5_34_40_PM.csv,30.2894813,-97.736918,88.00333333333334,86.1,89.6,0.7807487607745408,96.16916666666665,90.5,106.1,5.026765266811159,49.501666666666665,47.5,51.0,1.0484869717702685,4.210833333333333,0.0,13.2,2.7704865887376804,79.8675,77.0,84.5,2.4420394596912383,120
HEAT_-_3080884_Apr_17_2026_10_54_29_AM.csv,30.2872906,-97.7376909,77.94285714285715,77.1,79.2,0.43070705987779145,33.60634920634921,-1.8,41.0,8.922257526269874,66.76031746031745,65.2,68.0,0.6247020877287813,2.36984126984127,0.0,9.2,2.353423713359576,63.43253968253969,57.3,64.9,1.6333930018255545,126
